numNode	numCus	ID_Depot	Mile(min)	Begin	End	numUAV
21	20	0	10	0	12	50	
time_vec & deta1 & deta2:
0	1111112	2	2	3	3	3	2	3	3	4	3	4	2	2	4	4	4	4	2	4	4	0	100000	
1	2	1111112	4	2	4	4	3	3	4	2	2	3	2	3	6	6	5	5	3	4	2	0	12	
2	2	4	1111112	4	3	3	2	5	5	6	5	6	3	2	3	2	3	4	4	6	6	0	12	
3	3	2	4	1111112	3	5	4	4	6	2	4	5	2	4	6	6	6	6	4	5	3	0	6	
4	3	4	3	3	1111112	5	4	6	6	5	6	7	2	3	5	4	5	6	5	7	6	0	6	
5	3	4	3	5	5	1111112	2	3	2	6	4	4	4	2	3	4	2	2	2	4	6	0	12	
6	2	3	2	4	4	2	1111112	3	3	5	4	4	3	1	3	3	3	3	2	4	5	0	3	
7	3	3	5	4	6	3	3	1111112	2	5	2	2	4	3	5	6	4	3	2	2	4	0	12	
8	3	4	5	6	6	2	3	2	1111112	6	3	3	5	3	4	5	3	2	2	2	5	0	12	
9	4	2	6	2	5	6	5	5	6	1111112	3	4	3	5	8	7	7	7	5	5	2	0	6	
10	3	2	5	4	6	4	4	2	3	3	1111112	2	4	4	6	7	5	5	3	2	2	0	12	
11	4	3	6	5	7	4	4	2	3	4	2	1111112	5	5	7	7	6	5	3	1	3	0	12	
12	2	2	3	2	2	4	3	4	5	3	4	5	1111112	3	5	5	5	6	4	5	4	0	12	
13	2	3	2	4	3	2	1	3	3	5	4	5	3	1111112	3	3	3	3	3	5	5	0	6	
14	4	6	3	6	5	3	3	5	4	8	6	7	5	3	1111112	2	2	3	4	6	7	0	12	
15	4	6	2	6	4	4	3	6	5	7	7	7	5	3	2	1111112	3	4	5	7	7	0	6	
16	4	5	3	6	5	2	3	4	3	7	5	6	5	3	2	3	1111112	2	3	5	7	0	12	
17	4	5	4	6	6	2	3	3	2	7	5	5	6	3	3	4	2	1111112	3	4	6	0	12	
18	2	3	4	4	5	2	2	2	2	5	3	3	4	3	4	5	3	3	1111112	3	4	0	3	
19	4	4	6	5	7	4	4	2	2	5	2	1	5	5	6	7	5	4	3	1111112	4	0	6	
20	4	2	6	3	6	6	5	4	5	2	2	3	4	5	7	7	7	6	4	4	1111112	0	12	
