numNode	numCus	ID_Depot	Mile(min)	Begin	End	numUAV
26	25	0	20	0	24	100	
time_vec & deta1 & deta2:
0	1818182	7	6	8	7	8	7	7	8	7	6	7	6	7	7	8	8	8	9	8	7	9	7	9	7	9	0	100000	
1	7	1818182	2	1	2	1	3	3	3	10	9	9	8	10	9	10	10	9	15	14	14	15	14	15	13	15	0	18	
2	6	2	1818182	2	1	2	1	2	2	8	7	7	7	8	7	8	8	7	14	13	12	14	12	14	12	13	0	12	
3	8	1	2	1818182	1	1	2	3	2	10	9	9	8	10	8	9	10	9	16	15	14	15	14	15	14	15	0	24	
4	7	2	1	1	1818182	1	1	2	1	9	8	8	7	9	7	8	9	8	15	14	13	15	13	15	13	14	0	18	
5	8	1	2	1	1	1818182	2	3	2	10	9	9	8	10	8	9	9	9	16	15	14	15	14	15	14	15	0	12	
6	7	3	1	2	1	2	1818182	1	2	8	7	7	6	8	6	7	8	7	14	13	12	14	12	14	12	14	0	18	
7	7	3	2	3	2	3	1	1818182	1	8	7	7	6	8	6	7	7	7	14	13	12	14	12	14	12	14	0	24	
8	8	3	2	2	1	2	2	1	1818182	9	8	8	7	9	7	8	8	7	15	14	13	15	13	15	13	15	0	24	
9	7	10	8	10	9	10	8	8	9	1818182	1	1	2	1	3	2	3	3	9	8	7	8	7	8	7	8	0	12	
10	6	9	7	9	8	9	7	7	8	1	1818182	1	1	2	2	2	2	3	9	8	8	9	8	9	7	8	0	24	
11	7	9	7	9	8	9	7	7	8	1	1	1818182	1	2	2	2	2	2	10	9	8	9	8	9	8	9	0	18	
12	6	8	7	8	7	8	6	6	7	2	1	1	1818182	2	1	2	2	2	10	9	9	10	8	10	8	9	0	24	
13	7	10	8	10	9	10	8	8	9	1	2	2	2	1818182	2	2	2	3	9	9	8	9	8	9	8	8	0	24	
14	7	9	7	8	7	8	6	6	7	3	2	2	1	2	1818182	2	2	1	11	10	9	10	9	10	9	10	0	12	
15	8	10	8	9	8	9	7	7	8	2	2	2	2	2	2	1818182	1	1	10	10	9	10	9	10	8	9	0	12	
16	8	10	8	10	9	9	8	7	8	3	2	2	2	2	2	1	1818182	1	11	10	9	10	9	10	9	9	0	18	
17	8	9	7	9	8	9	7	7	7	3	3	2	2	3	1	1	1	1818182	11	10	10	11	10	11	9	10	0	24	
18	9	15	14	16	15	16	14	14	15	9	9	10	10	9	11	10	11	11	1818182	1	2	1	2	2	3	2	0	12	
19	8	14	13	15	14	15	13	13	14	8	8	9	9	9	10	10	10	10	1	1818182	1	1	1	2	2	2	0	18	
20	7	14	12	14	13	14	12	12	13	7	8	8	9	8	9	9	9	10	2	1	1818182	2	1	2	1	3	0	24	
21	9	15	14	15	15	15	14	14	15	8	9	9	10	9	10	10	10	11	1	1	2	1818182	2	1	2	1	0	12	
22	7	14	12	14	13	14	12	12	13	7	8	8	8	8	9	9	9	10	2	1	1	2	1818182	2	1	3	0	24	
23	9	15	14	15	15	15	14	14	15	8	9	9	10	9	10	10	10	11	2	2	2	1	2	1818182	2	1	0	12	
24	7	13	12	14	13	14	12	12	13	7	7	8	8	8	9	8	9	9	3	2	1	2	1	2	1818182	2	0	18	
25	9	15	13	15	14	15	14	14	15	8	8	9	9	8	10	9	9	10	2	2	3	1	3	1	2	1818182	0	24	
