numNode	numCus	ID_Depot	Mile(min)	Begin	End	numUAV
16	15	0	10	0	12	50	
time_vec & deta1 & deta2:
0	1111112	3	3	2	3	2	3	2	3	3	2	3	5	4	5	5	0	100000	
1	3	1111112	1	1	1	1	1	1	1	1	2	2	3	3	4	4	0	12	
2	3	1	1111112	1	1	1	1	1	1	1	2	2	3	3	4	3	0	12	
3	2	1	1	1111112	1	1	1	1	1	1	1	1	3	3	4	3	0	3	
4	3	1	1	1	1111112	1	1	1	1	1	1	1	3	3	3	3	0	6	
5	2	1	1	1	1	1111112	1	1	1	1	1	1	3	3	4	3	0	12	
6	3	1	1	1	1	1	1111112	1	1	1	1	1	3	3	3	3	0	12	
7	2	1	1	1	1	1	1	1111112	1	1	1	1	3	3	3	3	0	6	
8	3	1	1	1	1	1	1	1	1111112	1	1	1	3	2	3	3	0	6	
9	3	1	1	1	1	1	1	1	1	1111112	1	1	3	2	3	3	0	12	
10	2	2	2	1	1	1	1	1	1	1	1111112	1	3	2	3	3	0	6	
11	3	2	2	1	1	1	1	1	1	1	1	1111112	3	2	3	3	0	6	
12	5	3	3	3	3	3	3	3	3	3	3	3	1111112	2	1	1	0	6	
13	4	3	3	3	3	3	3	3	2	2	2	2	2	1111112	2	1	0	12	
14	5	4	4	4	3	4	3	3	3	3	3	3	1	2	1111112	1	0	6	
15	5	4	3	3	3	3	3	3	3	3	3	3	1	1	1	1111112	0	6	
