numNode	numCus	ID_Depot	Mile(min)	Begin	End	numUAV
11	10	0	10	0	12	50	
time_vec & deta1 & deta2:
0	10000000	2	2	2	3	3	3	4	4	4	4	0	100000	
1	2	10000000	2	3	2	2	2	4	3	3	3	0	12	
2	2	2	10000000	2	2	2	2	2	4	3	3	0	6	
3	2	3	2	10000000	4	2	2	2	4	4	3	0	12	
4	3	2	2	4	10000000	2	3	4	2	2	2	0	6	
5	3	2	2	2	2	10000000	2	3	2	2	2	0	12	
6	3	2	2	2	3	2	10000000	2	4	2	2	0	6	
7	4	4	2	2	4	3	2	10000000	5	4	2	0	6	
8	4	3	4	4	2	2	4	5	10000000	2	3	0	12	
9	4	3	3	4	2	2	2	4	2	10000000	2	0	6	
10	4	3	3	3	2	2	2	2	3	2	10000000	0	6	
