numNode	numCus	ID_Depot	Mile(min)	Begin	End	numUAV
36	35	0	14	0	18	100	
time_vec & deta1 & deta2:
0	1363637	6	5	6	5	6	5	5	6	5	5	5	5	6	5	6	6	6	7	6	5	7	5	7	5	7	8	8	8	8	8	7	7	8	7	7	0	100000	
1	6	1363637	2	1	1	1	2	2	2	8	7	7	6	8	7	7	8	7	12	11	10	12	10	12	10	11	13	12	12	12	12	11	12	12	11	6	0	18	
2	5	2	1363637	2	1	2	1	1	2	6	6	6	5	6	5	6	6	6	11	10	9	10	9	10	9	10	12	12	12	11	11	11	11	11	11	7	0	12	
3	6	1	2	1363637	1	1	2	2	2	8	7	7	6	8	6	7	7	7	12	11	10	12	10	12	10	12	13	13	13	12	12	12	12	12	11	7	0	18	
4	5	1	1	1	1363637	1	1	1	1	7	6	6	6	7	6	6	7	6	11	11	10	11	10	11	10	11	13	12	12	12	12	12	12	12	11	7	0	12	
5	6	1	2	1	1	1363637	2	2	1	7	7	7	6	8	6	7	7	7	12	11	11	12	10	12	10	12	13	13	13	12	12	12	12	13	12	7	0	12	
6	5	2	1	2	1	2	1363637	1	1	6	5	5	5	6	5	6	6	5	11	10	9	11	9	10	9	10	13	12	12	12	12	11	12	12	11	7	0	18	
7	5	2	1	2	1	2	1	1363637	1	6	5	5	5	6	5	6	6	5	11	10	9	11	9	11	9	10	13	13	13	12	12	12	12	12	11	8	0	6	
8	6	2	2	2	1	1	1	1	1363637	7	6	6	5	7	5	6	6	6	11	11	10	11	10	11	10	11	13	13	13	12	13	12	12	13	12	8	0	12	
9	5	8	6	8	7	7	6	6	7	1363637	1	1	2	1	2	2	2	2	7	6	6	6	5	6	5	6	12	12	12	11	11	11	11	11	11	11	0	12	
10	5	7	6	7	6	7	5	5	6	1	1363637	1	1	1	1	2	2	2	7	6	6	7	6	7	6	6	12	12	12	11	11	11	11	11	11	10	0	12	
11	5	7	6	7	6	7	5	5	6	1	1	1363637	1	1	1	1	2	2	7	7	6	7	6	7	6	7	12	12	12	12	11	11	11	11	11	11	0	12	
12	5	6	5	6	6	6	5	5	5	2	1	1	1363637	2	1	2	2	2	8	7	7	7	6	7	6	7	13	12	12	12	12	11	11	11	11	10	0	12	
13	6	8	6	8	7	8	6	6	7	1	1	1	2	1363637	2	1	1	2	7	7	6	7	6	7	6	6	13	13	12	12	12	12	12	11	11	11	0	12	
14	5	7	5	6	6	6	5	5	5	2	1	1	1	2	1363637	1	1	1	8	7	7	8	7	8	7	7	13	13	13	12	12	12	12	12	11	11	0	18	
15	6	7	6	7	6	7	6	6	6	2	2	1	2	1	1	1363637	1	1	8	7	7	8	7	7	6	7	13	13	13	13	12	12	12	12	12	11	0	18	
16	6	8	6	7	7	7	6	6	6	2	2	2	2	1	1	1	1363637	1	8	8	7	8	7	8	7	7	14	13	13	13	13	13	12	12	12	12	0	18	
17	6	7	6	7	6	7	5	5	6	2	2	2	2	2	1	1	1	1363637	9	8	8	8	7	8	7	8	14	14	13	13	13	13	13	12	12	11	0	18	
18	7	12	11	12	11	12	11	11	11	7	7	7	8	7	8	8	8	9	1363637	1	2	1	2	1	2	2	8	9	8	8	7	8	7	7	7	12	0	18	
19	6	11	10	11	11	11	10	10	11	6	6	7	7	7	7	7	8	8	1	1363637	1	1	1	1	1	2	8	8	8	8	7	8	7	7	7	11	0	18	
20	5	10	9	10	10	11	9	9	10	6	6	6	7	6	7	7	7	8	2	1	1363637	2	1	2	1	2	8	8	8	8	7	7	7	7	7	11	0	12	
21	7	12	10	12	11	12	11	11	11	6	7	7	7	7	8	8	8	8	1	1	2	1363637	2	1	2	1	9	9	8	8	8	8	8	7	8	12	0	18	
22	5	10	9	10	10	10	9	9	10	5	6	6	6	6	7	7	7	7	2	1	1	2	1363637	2	1	2	8	8	8	8	7	8	7	7	7	11	0	6	
23	7	12	10	12	11	12	10	11	11	6	7	7	7	7	8	7	8	8	1	1	2	1	2	1363637	2	1	9	9	9	9	8	8	8	7	8	12	0	18	
24	5	10	9	10	10	10	9	9	10	5	6	6	6	6	7	6	7	7	2	1	1	2	1	2	1363637	2	9	9	8	8	8	8	7	7	7	11	0	12	
25	7	11	10	12	11	12	10	10	11	6	6	7	7	6	7	7	7	8	2	2	2	1	2	1	2	1363637	9	10	9	9	8	9	8	8	8	12	0	12	
26	8	13	12	13	13	13	13	13	13	12	12	12	13	13	13	13	14	14	8	8	8	9	8	9	9	9	1363637	1	1	1	1	2	2	2	2	9	0	18	
27	8	12	12	13	12	13	12	13	13	12	12	12	12	13	13	13	13	14	9	8	8	9	8	9	9	10	1	1363637	1	1	2	1	2	2	2	8	0	12	
28	8	12	12	13	12	13	12	13	13	12	12	12	12	12	13	13	13	13	8	8	8	8	8	9	8	9	1	1	1363637	1	1	1	1	2	2	9	0	18	
29	8	12	11	12	12	12	12	12	12	11	11	12	12	12	12	13	13	13	8	8	8	8	8	9	8	9	1	1	1	1363637	1	1	1	2	1	8	0	12	
30	8	12	11	12	12	12	12	12	13	11	11	11	12	12	12	12	13	13	7	7	7	8	7	8	8	8	1	2	1	1	1363637	1	1	1	1	9	0	12	
31	7	11	11	12	12	12	11	12	12	11	11	11	11	12	12	12	13	13	8	8	7	8	8	8	8	9	2	1	1	1	1	1363637	1	2	1	8	0	12	
32	7	12	11	12	12	12	12	12	12	11	11	11	11	12	12	12	12	13	7	7	7	8	7	8	7	8	2	2	1	1	1	1	1363637	1	1	8	0	12	
33	8	12	11	12	12	13	12	12	13	11	11	11	11	11	12	12	12	12	7	7	7	7	7	7	7	8	2	2	2	2	1	2	1	1363637	2	9	0	18	
34	7	11	11	11	11	12	11	11	12	11	11	11	11	11	11	12	12	12	7	7	7	8	7	8	7	8	2	2	2	1	1	1	1	2	1363637	8	0	18	
35	7	6	7	7	7	7	7	8	8	11	10	11	10	11	11	11	12	11	12	11	11	12	11	12	11	12	9	8	9	8	9	8	8	9	8	1363637	0	12	
