numNode	numCus	ID_Depot	Mile(min)	Begin	End	numUAV
21	20	0	10	0	12	50	
time_vec & deta1 & deta2:
0	909091	4	3	4	4	4	4	4	4	4	3	4	3	4	4	4	4	4	5	4	4	0	100000	
1	4	909091	1	1	1	1	2	2	2	5	5	5	4	5	5	5	5	5	8	7	7	0	6	
2	3	1	909091	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	7	7	6	0	12	
3	4	1	1	909091	1	1	1	2	1	5	5	5	4	5	4	5	5	5	8	8	7	0	6	
4	4	1	1	1	909091	1	1	1	1	5	4	4	4	5	4	4	5	4	8	7	7	0	12	
5	4	1	1	1	1	909091	1	2	1	5	5	5	4	5	4	5	5	5	8	8	7	0	6	
6	4	2	1	1	1	1	909091	1	1	4	4	4	3	4	3	4	4	4	7	7	6	0	6	
7	4	2	1	2	1	2	1	909091	1	4	4	4	3	4	3	4	4	4	7	7	6	0	6	
8	4	2	1	1	1	1	1	1	909091	5	4	4	4	5	4	4	4	4	8	7	7	0	12	
9	4	5	4	5	5	5	4	4	5	909091	1	1	1	1	2	1	2	2	5	4	4	0	6	
10	3	5	4	5	4	5	4	4	4	1	909091	1	1	1	1	1	1	2	5	4	4	0	12	
11	4	5	4	5	4	5	4	4	4	1	1	909091	1	1	1	1	1	1	5	5	4	0	6	
12	3	4	4	4	4	4	3	3	4	1	1	1	909091	1	1	1	1	1	5	5	5	0	6	
13	4	5	4	5	5	5	4	4	5	1	1	1	1	909091	1	1	1	2	5	5	4	0	12	
14	4	5	4	4	4	4	3	3	4	2	1	1	1	1	909091	1	1	1	6	5	5	0	12	
15	4	5	4	5	4	5	4	4	4	1	1	1	1	1	1	909091	1	1	5	5	5	0	12	
16	4	5	4	5	5	5	4	4	4	2	1	1	1	1	1	1	909091	1	6	5	5	0	12	
17	4	5	4	5	4	5	4	4	4	2	2	1	1	2	1	1	1	909091	6	5	5	0	6	
18	5	8	7	8	8	8	7	7	8	5	5	5	5	5	6	5	6	6	909091	1	1	0	12	
19	4	7	7	8	7	8	7	7	7	4	4	5	5	5	5	5	5	5	1	909091	1	0	6	
20	4	7	6	7	7	7	6	6	7	4	4	4	5	4	5	5	5	5	1	1	909091	0	12	
